"Date","Close","Volume"
"2024-12-31T20:27:00.000Z","16.93","7,008.00"
"2024-12-31T20:28:00.000Z","16.93","2,812.00"
"2024-12-31T20:29:00.000Z","16.93","15,641.00"
"2024-12-31T20:30:00.000Z","16.93","11,570.00"
"2024-12-31T20:31:00.000Z","16.93","2,009.00"
"2024-12-31T20:32:00.000Z","16.93","10,254.00"
"2024-12-31T20:33:00.000Z","16.92","15,082.00"
"2024-12-31T20:34:00.000Z","16.92","1,057.00"
"2024-12-31T20:35:00.000Z","16.95","13,257.00"
"2024-12-31T20:36:00.000Z","16.93","6,845.00"
"2024-12-31T20:37:00.000Z","16.92","7,281.00"
"2024-12-31T20:38:00.000Z","16.93","8,015.00"
"2024-12-31T20:39:00.000Z","16.93","25,134.00"
"2024-12-31T20:40:00.000Z","16.93","12,817.00"
"2024-12-31T20:41:00.000Z","16.94","7,056.00"
"2024-12-31T20:42:00.000Z","16.95","25,309.00"
"2024-12-31T20:43:00.000Z","16.95","3,534.00"
"2024-12-31T20:44:00.000Z","16.93","19,922.00"
"2024-12-31T20:45:00.000Z","16.93","46,459.00"
"2024-12-31T20:46:00.000Z","16.95","16,767.00"
"2024-12-31T20:47:00.000Z","16.97","23,070.00"
"2024-12-31T20:48:00.000Z","16.97","35,779.00"
"2024-12-31T20:49:00.000Z","16.98","12,369.00"
"2024-12-31T20:50:00.000Z","16.98","25,629.00"
"2024-12-31T20:51:00.000Z","17.00","22,010.00"
"2024-12-31T20:52:00.000Z","16.97","38,730.00"
"2024-12-31T20:53:00.000Z","16.95","20,263.00"
"2024-12-31T20:54:00.000Z","16.96","63,847.00"
"2024-12-31T20:55:00.000Z","16.94","76,328.00"
"2024-12-31T20:56:00.000Z","16.95","66,552.00"
"2024-12-31T20:57:00.000Z","16.97","56,147.00"
"2024-12-31T20:58:00.000Z","16.93","87,609.00"
"2024-12-31T20:59:00.000Z","16.95","156,612.00"
"2025-01-02T14:30:00.000Z","17.00","63,946.00"
"2025-01-02T14:31:00.000Z","16.98","15,399.00"
"2025-01-02T14:32:00.000Z","16.95","27,890.00"
"2025-01-02T14:33:00.000Z","16.92","1,912.00"
"2025-01-02T14:34:00.000Z","16.94","2,463.00"
"2025-01-02T14:35:00.000Z","16.92","25,898.00"
"2025-01-02T14:36:00.000Z","16.92","8,753.00"
"2025-01-02T14:37:00.000Z","16.92","9,132.00"
"2025-01-02T14:38:00.000Z","16.93","10,278.00"
"2025-01-02T14:39:00.000Z","16.93","3,389.00"
"2025-01-02T14:40:00.000Z","16.92","6,670.00"
"2025-01-02T14:41:00.000Z","16.95","7,174.00"
"2025-01-02T14:42:00.000Z","16.95","7,068.00"
"2025-01-02T14:43:00.000Z","16.96","3,355.00"
"2025-01-02T14:44:00.000Z","16.96","3,374.00"
"2025-01-02T14:45:00.000Z","16.99","6,111.00"
"2025-01-02T14:46:00.000Z","17.03","10,627.00"
"2025-01-02T14:47:00.000Z","17.02","5,757.00"
"2025-01-02T14:48:00.000Z","16.96","5,712.00"
"2025-01-02T14:49:00.000Z","16.94","11,619.00"
"2025-01-02T14:50:00.000Z","16.92","7,714.00"
"2025-01-02T14:51:00.000Z","16.89","12,792.00"
"2025-01-02T14:52:00.000Z","16.88","5,745.00"
"2025-01-02T14:53:00.000Z","16.89","3,670.00"
"2025-01-02T14:54:00.000Z","16.93","18,879.00"
"2025-01-02T14:55:00.000Z","16.83","59,111.00"
"2025-01-02T14:56:00.000Z","16.81","15,329.00"
"2025-01-02T14:57:00.000Z","16.75","26,253.00"
"2025-01-02T14:58:00.000Z","16.70","14,776.00"
"2025-01-02T14:59:00.000Z","16.68","14,571.00"
"2025-01-02T15:00:00.000Z","16.62","100,981.00"
